"subject" "activity" "V1" "NA"
0.078156973 "WALKING_UPSTAIRS" 2 -0.027612708
0.078542448 "WALKING_UPSTAIRS" 16 -0.023138676
0.079402186 "SITTING" 4 0.14062679
0.080398514 "WALKING_UPSTAIRS" 8 -0.058376367
0.081372604 "LAYING" 23 -0.046052708
0.081698791 "WALKING_UPSTAIRS" 19 -0.16962548
0.084683464 "WALKING_DOWNSTAIRS" 6 0.063915756
0.087568143 "WALKING_DOWNSTAIRS" 16 -0.029017929
0.087901707 "WALKING_UPSTAIRS" 30 -0.11899273
0.088292784 "WALKING_DOWNSTAIRS" 10 -0.026904807
0.088857203 "WALKING_DOWNSTAIRS" 29 -0.032967633
0.08892754 "WALKING_DOWNSTAIRS" 6 -0.033534888
0.090218788 "SITTING" 15 0.25185083
0.090659537 "WALKING_DOWNSTAIRS" 6 0.032572755
0.091124312 "WALKING_UPSTAIRS" 3 -0.11287298
0.092526775 "WALKING_UPSTAIRS" 16 0.10090367
0.093068135 "SITTING" 3 0.15040887
0.093371196 "WALKING_UPSTAIRS" 11 -0.053089522
0.095979677 "WALKING_UPSTAIRS" 29 -0.029469817
0.097182009 "WALKING_DOWNSTAIRS" 22 0.012910319
0.09719029 "SITTING" 26 0.23485426
0.097256431 "WALKING_DOWNSTAIRS" 20 -0.026759697
0.097830479 "WALKING_DOWNSTAIRS" 29 0.01775744
0.098749385 "WALKING_UPSTAIRS" 19 -0.025902008
0.10024099 "WALKING_DOWNSTAIRS" 9 -0.030561538
0.10035411 "WALKING_DOWNSTAIRS" 15 -0.0030732709
0.10192897 "WALKING_UPSTAIRS" 17 -0.0097113536
0.10222138 "WALKING_DOWNSTAIRS" 2 -0.04865811
0.10222923 "WALKING_UPSTAIRS" 22 -0.068200228
0.10417428 "WALKING_UPSTAIRS" 17 -0.048418015
0.10481167 "SITTING" 27 0.051003007
0.10524548 "WALKING_UPSTAIRS" 7 -0.05445712
0.10533848 "WALKING_UPSTAIRS" 21 -0.036878618
0.10566507 "LAYING" 16 -0.056556505
0.10569277 "WALKING_UPSTAIRS" 10 -0.039864377
0.10772883 "WALKING_DOWNSTAIRS" 6 -0.00099842537
0.10777805 "LAYING" 26 -0.056986
0.1084854 "WALKING_DOWNSTAIRS" 22 -0.0046409908
0.1087847 "WALKING_DOWNSTAIRS" 30 -0.028065165
0.10900062 "WALKING_UPSTAIRS" 14 -0.11716788
0.10974712 "WALKING_DOWNSTAIRS" 15 -0.024332959
0.11123126 "STANDING" 21 -0.1160069
0.11131242 "WALKING_DOWNSTAIRS" 6 -0.0015154049
0.11169003 "WALKING_UPSTAIRS" 27 0.010050403
0.11174503 "WALKING_UPSTAIRS" 29 -0.047675437
0.11234856 "WALKING_DOWNSTAIRS" 30 0.012569336
0.11238966 "WALKING_UPSTAIRS" 25 -0.13600412
0.1125393 "WALKING_DOWNSTAIRS" 28 -0.001158676
0.11323824 "LAYING" 25 -0.51873329
0.11336129 "WALKING_DOWNSTAIRS" 3 0.017742643
0.11344723 "WALKING_DOWNSTAIRS" 26 -0.032818187
0.11355001 "WALKING_DOWNSTAIRS" 23 0.033999805
0.11356913 "WALKING_UPSTAIRS" 7 -0.080846447
0.11384184 "LAYING" 9 -0.11251405
0.11418006 "WALKING_DOWNSTAIRS" 19 -0.042242993
0.11418016 "WALKING_DOWNSTAIRS" 5 -0.047294584
0.11450563 "WALKING_UPSTAIRS" 9 0.10067151
0.11459357 "WALKING_DOWNSTAIRS" 26 -0.036874003
0.11486635 "WALKING_DOWNSTAIRS" 24 -0.00042675471
0.11545218 "WALKING_DOWNSTAIRS" 6 0.016279339
0.11628627 "WALKING_DOWNSTAIRS" 14 -0.032904929
0.1163345 "WALKING_UPSTAIRS" 17 -0.021526078
0.11688337 "WALKING_UPSTAIRS" 28 -0.11499771
0.11776128 "WALKING_DOWNSTAIRS" 10 -0.040743433
0.11776522 "SITTING" 22 0.21637088
0.11780708 "WALKING_DOWNSTAIRS" 21 0.013122591
0.11805601 "WALKING_DOWNSTAIRS" 28 0.019811858
0.11851475 "SITTING" 10 0.1523003
0.1195509 "WALKING_UPSTAIRS" 14 -0.076462215
0.12025391 "WALKING_DOWNSTAIRS" 11 -0.036873524
0.12080064 "SITTING" 5 0.14263826
0.12111138 "WALKING_UPSTAIRS" 23 -0.085066962
0.12138473 "WALKING_UPSTAIRS" 3 -0.10053922
0.12146517 "WALKING" 29 -0.031901879
0.12147198 "WALKING_DOWNSTAIRS" 25 -0.04696167
0.12155438 "WALKING_UPSTAIRS" 20 -0.0056607378
0.12157767 "WALKING_UPSTAIRS" 13 -0.032065513
0.12166437 "WALKING_DOWNSTAIRS" 4 -0.042791613
0.12181363 "WALKING_UPSTAIRS" 5 0.012983925
0.12240534 "WALKING_UPSTAIRS" 15 -0.012675775
0.12339232 "WALKING_UPSTAIRS" 30 -0.074076376
0.1235127 "WALKING_DOWNSTAIRS" 27 -0.017160201
0.12387091 "WALKING_UPSTAIRS" 16 -0.019031665
0.12435587 "WALKING_UPSTAIRS" 19 -0.15466267
0.12486678 "WALKING_DOWNSTAIRS" 16 -0.0059348981
0.12515895 "WALKING_UPSTAIRS" 8 -0.096941077
0.12555853 "WALKING_DOWNSTAIRS" 5 -0.049695407
0.12592012 "WALKING_DOWNSTAIRS" 2 -0.027658255
0.12623258 "WALKING_UPSTAIRS" 28 -0.016405269
0.12666467 "WALKING_UPSTAIRS" 18 0.0014646907
0.12697024 "WALKING_DOWNSTAIRS" 24 -0.013276209
0.12793752 "WALKING_DOWNSTAIRS" 7 -0.023825337
0.12803974 "WALKING_UPSTAIRS" 3 -0.17149004
0.1280471 "WALKING_UPSTAIRS" 22 -0.016354328
0.12806415 "WALKING_UPSTAIRS" 30 -0.02765703
0.12861812 "LAYING" 20 -0.011177574
0.12878424 "WALKING_UPSTAIRS" 22 -0.10777109
0.12886 "WALKING_DOWNSTAIRS" 15 0.0082072687
0.12888592 "WALKING_UPSTAIRS" 3 -0.013788855
0.12951378 "WALKING_DOWNSTAIRS" 10 -0.022880964
0.12998991 "SITTING" 8 0.10483888
0.13001261 "WALKING_DOWNSTAIRS" 16 -0.041204077
0.13046118 "WALKING_DOWNSTAIRS" 1 -0.05499692
0.13056706 "WALKING_DOWNSTAIRS" 6 -0.0024906179
0.13091181 "WALKING_DOWNSTAIRS" 11 -0.051390537
0.13096993 "WALKING_UPSTAIRS" 22 -0.093438554
0.13105294 "WALKING" 23 -0.036104586
0.13120472 "WALKING_DOWNSTAIRS" 28 0.0021384823
0.13120716 "WALKING_UPSTAIRS" 22 -0.067068654
0.13125238 "LAYING" 5 -0.021430718
0.13143218 "WALKING_UPSTAIRS" 13 -0.039662861
0.13151741 "WALKING_UPSTAIRS" 13 -0.11561597
0.13152726 "WALKING_UPSTAIRS" 23 -0.036868717
0.13190806 "WALKING_UPSTAIRS" 18 0.01051899
0.1321928 "LAYING" 6 -0.0097691788
0.13238433 "WALKING_UPSTAIRS" 8 -0.0080128338
0.13262041 "WALKING_DOWNSTAIRS" 25 -0.0059537923
0.13263325 "WALKING_UPSTAIRS" 22 -0.056435123
0.13267581 "WALKING_UPSTAIRS" 27 -0.049130046
0.13288482 "WALKING_DOWNSTAIRS" 30 -0.032453785
0.13329999 "WALKING_DOWNSTAIRS" 12 -0.013782257
0.13332561 "WALKING_UPSTAIRS" 15 -0.012081297
0.13336351 "WALKING_UPSTAIRS" 8 0.020698163
0.1334979 "SITTING" 27 0.040649177
0.13352938 "WALKING_DOWNSTAIRS" 26 -0.010326368
0.13373761 "WALKING_UPSTAIRS" 29 -0.1352001
0.1339655 "WALKING_UPSTAIRS" 8 -0.06197436
0.13452444 "WALKING_UPSTAIRS" 7 -0.027410933
0.13462299 "WALKING_UPSTAIRS" 17 -0.025372513
0.13502173 "WALKING" 29 -0.0053608436
0.13530156 "WALKING_DOWNSTAIRS" 11 -0.015713539
0.1356538 "WALKING_UPSTAIRS" 28 -0.055976126
0.13587336 "LAYING" 19 -0.020675373
0.13592038 "WALKING_UPSTAIRS" 7 -0.020143327
0.1360427 "WALKING_DOWNSTAIRS" 10 -0.032178887
0.13613957 "WALKING_DOWNSTAIRS" 22 -0.016804584
0.13622696 "WALKING_UPSTAIRS" 17 0.017165033
0.13669746 "WALKING_UPSTAIRS" 3 -0.055384001
0.13672978 "WALKING_UPSTAIRS" 22 0.013667816
0.13719152 "WALKING_DOWNSTAIRS" 24 -0.010365829
0.13729358 "WALKING_DOWNSTAIRS" 19 -0.07075705
0.13735329 "WALKING_DOWNSTAIRS" 24 -0.012811615
0.13756918 "WALKING_DOWNSTAIRS" 20 -0.052284355
0.13771755 "WALKING_DOWNSTAIRS" 4 0.0018420117
0.13775962 "WALKING" 29 -0.010651505
0.13786712 "WALKING_DOWNSTAIRS" 24 -0.019364783
0.13805939 "WALKING_UPSTAIRS" 10 -0.046265889
0.138144 "WALKING_DOWNSTAIRS" 29 -0.057711371
0.13816232 "WALKING_DOWNSTAIRS" 12 -0.024711103
0.13841741 "WALKING_DOWNSTAIRS" 22 -0.024460061
0.13869448 "WALKING_DOWNSTAIRS" 3 0.0035650465
0.13899026 "WALKING_DOWNSTAIRS" 7 -0.0028019487
0.13927421 "WALKING_DOWNSTAIRS" 29 0.029781341
0.13959502 "WALKING_UPSTAIRS" 10 -0.012088407
0.13964611 "WALKING_UPSTAIRS" 8 -0.021322566
0.14028257 "WALKING_UPSTAIRS" 4 -0.024774748
0.14057459 "WALKING_DOWNSTAIRS" 28 0.0053288306
0.14085877 "WALKING_UPSTAIRS" 1 -0.068261729
0.14103679 "WALKING_UPSTAIRS" 21 -0.032108555
0.14125904 "WALKING_DOWNSTAIRS" 16 -0.016683463
0.14131155 "WALKING_UPSTAIRS" 28 -0.12327765
0.14143066 "WALKING_DOWNSTAIRS" 6 -0.027866331
0.14146674 "WALKING_DOWNSTAIRS" 9 -0.044859438
0.14153116 "WALKING_UPSTAIRS" 6 -0.095164233
0.14171884 "WALKING" 10 -0.0078033924
0.14175689 "WALKING_DOWNSTAIRS" 20 0.031915446
0.14197324 "WALKING_DOWNSTAIRS" 9 -0.00094917845
0.14209996 "WALKING_DOWNSTAIRS" 15 0.060829689
0.14271721 "WALKING_UPSTAIRS" 25 -0.0079654211
0.14274211 "WALKING_UPSTAIRS" 14 -0.040154826
0.14288778 "WALKING_DOWNSTAIRS" 17 -0.013431456
0.14290926 "WALKING_UPSTAIRS" 20 -0.022732164
0.14310538 "LAYING" 28 0.020476682
0.14317638 "WALKING_UPSTAIRS" 16 0.016814016
0.14319011 "SITTING" 10 0.077229515
0.14354926 "WALKING_UPSTAIRS" 13 -0.0087296967
0.14360939 "WALKING_DOWNSTAIRS" 6 0.0024232758
0.14381651 "WALKING_UPSTAIRS" 15 -0.02773356
0.14386939 "WALKING_UPSTAIRS" 18 -0.024727103
0.14414919 "WALKING_UPSTAIRS" 24 -0.039857812
0.14425234 "WALKING_UPSTAIRS" 18 -0.11198262
0.14445463 "WALKING_DOWNSTAIRS" 28 0.02701566
0.1444642 "WALKING_DOWNSTAIRS" 29 -0.020424073
0.14450396 "SITTING" 1 0.18926326
0.14474072 "WALKING_UPSTAIRS" 8 -0.090230052
0.14505186 "WALKING_UPSTAIRS" 28 -0.043869611
0.14593973 "WALKING_UPSTAIRS" 6 -0.10169423
0.14625723 "LAYING" 19 -0.029771944
0.14683845 "WALKING_DOWNSTAIRS" 25 -0.026228104
0.14714555 "WALKING_UPSTAIRS" 24 -0.046907851
0.14721181 "WALKING" 29 -0.014194446
0.14747651 "WALKING" 10 -0.023884843
0.14761585 "WALKING_DOWNSTAIRS" 29 0.0044057116
0.14829727 "WALKING_DOWNSTAIRS" 30 -0.021134127
0.14838783 "WALKING_UPSTAIRS" 2 -0.036547994
0.14842824 "WALKING_UPSTAIRS" 21 -0.095395775
0.14872361 "SITTING" 23 0.071206865
0.14957067 "WALKING_DOWNSTAIRS" 4 -0.0051893681
0.14963576 "LAYING" 19 -0.02793106
0.14976175 "WALKING_DOWNSTAIRS" 26 0.013895937
0.14993721 "WALKING_DOWNSTAIRS" 19 -0.039079257
0.14996732 "WALKING_UPSTAIRS" 21 -0.047014271
0.15153105 "WALKING_DOWNSTAIRS" 7 0.013647413
0.15157776 "WALKING_UPSTAIRS" 20 -0.093995202
0.15172996 "WALKING_DOWNSTAIRS" 27 0.025405834
0.15183443 "WALKING_DOWNSTAIRS" 6 0.016128507
0.15191489 "WALKING_DOWNSTAIRS" 14 -0.027360708
0.15193168 "WALKING_DOWNSTAIRS" 20 0.0073517037
0.15219011 "WALKING_DOWNSTAIRS" 15 0.0095642345
0.1522448 "WALKING_UPSTAIRS" 18 -0.019801118
0.15241797 "WALKING_UPSTAIRS" 7 -0.013600814
0.15280558 "WALKING_DOWNSTAIRS" 18 0.00088675406
0.15294903 "WALKING" 13 -0.072209998
0.15334488 "WALKING_DOWNSTAIRS" 29 0.031258597
0.15362719 "WALKING_UPSTAIRS" 24 -0.018436506
0.15364839 "WALKING_UPSTAIRS" 8 -0.02878574
0.15366105 "WALKING_DOWNSTAIRS" 2 -0.010077719
0.15369714 "WALKING_DOWNSTAIRS" 20 0.0050746934
0.15374449 "WALKING_DOWNSTAIRS" 19 0.046698192
0.15385242 "WALKING_DOWNSTAIRS" 23 0.033191304
0.15389471 "WALKING_UPSTAIRS" 14 0.013070376
0.15415589 "WALKING_UPSTAIRS" 14 -0.0032268205
0.15439416 "WALKING_DOWNSTAIRS" 1 0.0016045166
0.15444322 "WALKING_DOWNSTAIRS" 7 0.017598113
0.1546883 "WALKING" 11 -0.032036776
0.15471459 "WALKING_DOWNSTAIRS" 25 -0.067512644
0.15491386 "WALKING_DOWNSTAIRS" 17 -0.042973611
0.1549789 "WALKING_DOWNSTAIRS" 15 -0.0033221142
0.15526365 "WALKING_DOWNSTAIRS" 16 -0.037500781
0.15528646 "WALKING_UPSTAIRS" 20 -0.040643828
0.15539158 "WALKING_UPSTAIRS" 14 -0.027897774
0.15560717 "WALKING_DOWNSTAIRS" 27 -0.001955237
0.15592739 "WALKING_DOWNSTAIRS" 16 -0.029963223
0.1559852 "WALKING_UPSTAIRS" 11 -0.060461624
0.15615571 "WALKING_UPSTAIRS" 15 0.034978446
0.15618659 "WALKING" 1 -0.049614593
0.15656444 "WALKING_DOWNSTAIRS" 16 -0.034440234
0.15676269 "WALKING_UPSTAIRS" 18 -0.015914045
0.15681168 "WALKING_DOWNSTAIRS" 28 -0.019639346
0.15693683 "WALKING" 29 -0.0021175302
0.15716985 "WALKING_DOWNSTAIRS" 11 -0.026740845
0.15751906 "WALKING_UPSTAIRS" 8 -0.040564129
0.15783838 "WALKING_UPSTAIRS" 18 -0.008074351
0.15789429 "WALKING_DOWNSTAIRS" 15 0.022880145
0.15801556 "WALKING_UPSTAIRS" 20 -0.029785319
0.15810088 "WALKING_UPSTAIRS" 5 -0.040473867
0.15810684 "WALKING_UPSTAIRS" 20 -0.096766116
0.15826707 "LAYING" 13 -0.11262786
0.15851651 "WALKING_UPSTAIRS" 1 0.0042561454
0.15857432 "WALKING_UPSTAIRS" 10 -0.0056115136
0.15890499 "WALKING_UPSTAIRS" 11 -0.021648775
0.15912994 "WALKING_UPSTAIRS" 21 -0.031450053
0.15919574 "WALKING_DOWNSTAIRS" 20 0.029013813
0.15940435 "WALKING_UPSTAIRS" 4 0.010533098
0.15947631 "WALKING_DOWNSTAIRS" 21 -0.013409862
0.16007475 "WALKING_DOWNSTAIRS" 27 -0.010388948
0.16016873 "WALKING_DOWNSTAIRS" 4 0.012275909
0.16050705 "WALKING_DOWNSTAIRS" 12 -0.0036134544
0.16067755 "WALKING_DOWNSTAIRS" 19 -0.074157221
0.16085356 "WALKING_UPSTAIRS" 1 -0.067771871
0.16088695 "WALKING_UPSTAIRS" 15 0.027137849
0.16123973 "WALKING_UPSTAIRS" 19 -0.17610724
0.16160096 "WALKING_UPSTAIRS" 29 -0.080669997
0.16160986 "WALKING_UPSTAIRS" 25 0.001877265
0.16168791 "WALKING_DOWNSTAIRS" 27 -0.015841393
0.16175682 "WALKING_DOWNSTAIRS" 12 -0.017864393
0.16198735 "WALKING_DOWNSTAIRS" 11 -0.018045175
0.16231004 "WALKING_DOWNSTAIRS" 29 0.050712383
0.1624076 "LAYING" 28 -0.059110183
0.16240781 "SITTING" 26 0.036141238
0.16241983 "SITTING" 9 -0.12283435
0.16251295 "LAYING" 25 -0.047015109
0.16257425 "WALKING" 21 -0.036859923
0.16263217 "WALKING" 29 0.0057186666
0.16266798 "WALKING_UPSTAIRS" 18 -0.029567338
0.16278092 "WALKING_UPSTAIRS" 8 -0.031742743
0.162889 "WALKING_DOWNSTAIRS" 23 0.020296968
0.16337412 "WALKING_DOWNSTAIRS" 6 -0.0091796176
0.16391074 "WALKING_UPSTAIRS" 15 0.001614951
0.16393082 "WALKING_UPSTAIRS" 26 -0.018990186
0.16422959 "WALKING_DOWNSTAIRS" 4 0.030590021
0.16430905 "SITTING" 3 0.077554196
0.16431791 "WALKING_DOWNSTAIRS" 13 -0.00011356341
0.1643324 "WALKING_DOWNSTAIRS" 22 0.003475613
0.1643847 "WALKING_DOWNSTAIRS" 22 -0.012984995
0.16442857 "WALKING_UPSTAIRS" 30 -0.096892927
0.16444582 "WALKING" 28 -0.023989147
0.16453599 "LAYING" 17 0.0037119046
0.16453897 "WALKING_UPSTAIRS" 9 -0.036406143
0.16459829 "WALKING_UPSTAIRS" 13 -0.019211139
0.16490726 "WALKING_DOWNSTAIRS" 11 -0.043098738
0.16491265 "WALKING_UPSTAIRS" 11 0.0044918899
0.16496565 "WALKING_DOWNSTAIRS" 3 -0.012368938
0.16503216 "WALKING_UPSTAIRS" 6 0.00043730978
0.16511734 "WALKING_UPSTAIRS" 10 -0.031654823
0.16514018 "WALKING_UPSTAIRS" 22 -0.043491855
0.16551251 "WALKING_DOWNSTAIRS" 20 -0.025854709
0.16569055 "WALKING_UPSTAIRS" 13 -0.0064721312
0.16569547 "WALKING" 29 -0.014533516
0.16572588 "WALKING_DOWNSTAIRS" 16 -0.027412711
0.16573909 "WALKING_UPSTAIRS" 17 -0.042058616
0.16603143 "WALKING_UPSTAIRS" 15 -0.023476755
0.1660384 "WALKING_DOWNSTAIRS" 8 0.016284384
0.16608325 "LAYING" 27 -0.024097511
0.16640903 "WALKING_UPSTAIRS" 7 -0.058462262
0.16646184 "LAYING" 17 -0.028046375
0.16652003 "SITTING" 12 0.013554852
0.16655269 "WALKING_DOWNSTAIRS" 7 0.018650473
0.16655551 "SITTING" 8 0.043005178
0.16674291 "WALKING_UPSTAIRS" 21 -0.043797917
0.16684079 "WALKING_DOWNSTAIRS" 30 -0.048522064
0.1669136 "WALKING_DOWNSTAIRS" 1 -0.03373288
0.16696572 "WALKING_DOWNSTAIRS" 15 0.049536303
0.16764246 "WALKING_DOWNSTAIRS" 9 -0.031919525
0.16803166 "WALKING" 7 -0.009135272
0.16830274 "WALKING" 28 -0.018619489
0.16831268 "WALKING_DOWNSTAIRS" 11 0.0053020701
0.168419 "WALKING_UPSTAIRS" 9 -0.048308647
0.16862589 "WALKING_DOWNSTAIRS" 21 -0.011441907
0.1686636 "WALKING_DOWNSTAIRS" 1 0.052146924
0.16867959 "WALKING" 26 -0.0055778879
0.1691376 "LAYING" 25 0.64674689
0.1694432 "WALKING_UPSTAIRS" 24 -0.072335997
0.16956215 "WALKING" 28 -0.0088640703
0.16982864 "WALKING_DOWNSTAIRS" 26 -0.0092458616
0.1698748 "WALKING_DOWNSTAIRS" 26 -0.0076362457
0.17002478 "WALKING_UPSTAIRS" 15 -0.005036787
0.170082 "WALKING_UPSTAIRS" 11 -0.11454427
0.1702975 "LAYING" 21 -0.052490449
0.17034926 "WALKING_DOWNSTAIRS" 14 0.019498867
0.17051862 "WALKING_UPSTAIRS" 13 -0.002462847
0.17053751 "WALKING_UPSTAIRS" 10 -0.0048081465
0.17056846 "WALKING_UPSTAIRS" 24 -0.084777283
0.17073838 "WALKING_UPSTAIRS" 12 -0.044992807
0.17074896 "WALKING_UPSTAIRS" 15 -0.05163304
0.17099688 "WALKING_UPSTAIRS" 12 -0.086868099
0.17102592 "WALKING_UPSTAIRS" 22 -0.025293108
0.17110988 "LAYING" 7 -0.11409176
0.17119582 "WALKING_UPSTAIRS" 13 -0.021137662
0.17124891 "WALKING_UPSTAIRS" 29 -0.073035088
0.1713487 "WALKING_DOWNSTAIRS" 7 -0.011861285
0.17139425 "WALKING_UPSTAIRS" 15 -0.048288629
0.17176011 "WALKING_UPSTAIRS" 7 -0.018643613
0.17194263 "WALKING" 6 0.00051947602
0.17198007 "WALKING_DOWNSTAIRS" 26 -0.033992099
0.1721003 "WALKING" 27 -0.011126476
0.17210322 "WALKING_UPSTAIRS" 17 0.0039437219
0.17214596 "WALKING_UPSTAIRS" 25 -0.017034858
0.17218004 "WALKING_DOWNSTAIRS" 14 -0.036721155
0.17256086 "WALKING_UPSTAIRS" 10 -0.01813755
0.17263554 "WALKING_UPSTAIRS" 30 -0.065519453
0.17290917 "WALKING_UPSTAIRS" 4 -0.12207847
0.17297289 "WALKING_UPSTAIRS" 24 -0.068800822
0.17329742 "WALKING_UPSTAIRS" 14 0.00023897282
0.17331223 "WALKING_UPSTAIRS" 3 -0.10352888
0.17376172 "SITTING" 10 -0.096872658
0.17376905 "LAYING" 2 -0.024869125
0.17385418 "WALKING_DOWNSTAIRS" 20 -0.018371087
0.17390644 "WALKING_UPSTAIRS" 17 -0.016961019
0.17400407 "WALKING" 11 0.015086436
0.17402448 "WALKING_UPSTAIRS" 4 -0.037292256
0.17420476 "WALKING_DOWNSTAIRS" 29 -0.010039337
0.17423799 "WALKING_UPSTAIRS" 7 -0.02476739
0.17444077 "WALKING_UPSTAIRS" 6 -0.099178704
0.17444228 "WALKING_DOWNSTAIRS" 3 -0.035646306
0.17453971 "WALKING_DOWNSTAIRS" 25 -0.0029291638
0.17462376 "WALKING_DOWNSTAIRS" 9 -0.023686933
0.17466861 "WALKING" 27 -0.0083445925
0.17469853 "WALKING" 15 -0.0033376622
0.17470369 "WALKING_UPSTAIRS" 20 -0.073955571
0.17489386 "WALKING_UPSTAIRS" 7 -0.03109748
0.17497654 "WALKING" 15 -0.01377414
0.17507914 "WALKING_UPSTAIRS" 13 0.018752528
0.17510626 "WALKING_UPSTAIRS" 6 -0.066073075
0.17543173 "WALKING_UPSTAIRS" 3 -0.055660281
0.17564039 "WALKING_UPSTAIRS" 9 -0.037076071
0.17596171 "WALKING_DOWNSTAIRS" 11 0.013359582
0.17617081 "LAYING" 9 -0.03539695
0.17659603 "WALKING_DOWNSTAIRS" 3 -0.022868866
0.17665828 "WALKING_UPSTAIRS" 14 -0.038535202
0.17677724 "WALKING_UPSTAIRS" 9 -0.076101166
0.17696686 "WALKING" 18 -0.0079612339
